year,block,population,lat,long
2011,geoId/371190031033,419,35.160627000000005,-80.8559325
2011,geoId/371190057143,1526,35.178895499999996,-80.6036335
2011,geoId/371190058432,1105,35.0383905,-80.80972700000001
2011,geoId/371190058292,1634,35.0920665,-80.8617655
2011,geoId/371190031051,1464,35.140558,-80.85487350000001
2011,geoId/371190034004,673,35.2034815,-80.85893150000001
2011,geoId/371190053062,1512,35.260684999999995,-80.77858599999999
2011,geoId/371190055231,314,35.326786,-80.7616575
2011,geoId/371190055243,2589,35.3032385,-80.78915
2011,geoId/371190056111,2532,35.3309255,-80.7015345
2011,geoId/371190005003,1407,35.2297865,-80.8543315
2011,geoId/371190029045,1548,35.1348275,-80.7866895
2011,geoId/371190058413,3019,35.050276,-80.82478
2011,geoId/371190031023,1288,35.1588105,-80.87268449999999
2011,geoId/371190036004,942,35.219204000000005,-80.8758175
2011,geoId/371190051001,1327,35.2660765,-80.8279045
2011,geoId/371190057091,1791,35.1287545,-80.69587200000001
2011,geoId/371190003001,362,35.2124315,-80.84142100000001
2011,geoId/371190013001,2143,35.241524,-80.78509199999999
2011,geoId/371190035002,1326,35.2104685,-80.8514815
2011,geoId/371190061042,1468,35.317207499999995,-80.9184905
2011,geoId/371190062102,1006,35.419589,-80.906216
2011,geoId/371190064032,1828,35.502923,-80.82480100000001
2011,geoId/371190005002,1083,35.236424,-80.848089
2011,geoId/371190020034,667,35.146846,-80.7661005
2011,geoId/371190033001,1607,35.192260000000005,-80.8571825
2011,geoId/371190049001,661,35.242864,-80.8434225
2011,geoId/371190055093,2080,35.375297,-80.79487400000001
2011,geoId/371190058481,2682,35.0948845,-80.746467
2011,geoId/371190023002,2240,35.1970515,-80.8008765
2011,geoId/371190058423,2930,35.055105999999995,-80.80063100000001
2011,geoId/371190058452,1542,35.052678,-80.7837145
2011,geoId/371190062092,1919,35.448152500000006,-80.887868
2011,geoId/371190038022,2247,35.1896835,-80.89760849999999
2011,geoId/371190053082,528,35.2747015,-80.769621
2011,geoId/371190055211,611,35.325884,-80.734459
2011,geoId/371190056212,688,35.230179,-80.64171
2011,geoId/371190059062,632,35.241420500000004,-80.96224
2011,geoId/371190062032,1835,35.496903,-80.896466
2011,geoId/371190063031,2150,35.418116999999995,-80.8508265
2011,geoId/371190012002,1395,35.219375,-80.7869325
2011,geoId/371190016031,2739,35.2297705,-80.7655675
2011,geoId/371190019181,432,35.196158499999996,-80.7641975
2011,geoId/371190022002,867,35.1826515,-80.797038
2011,geoId/371190031062,541,35.1431115,-80.8642455
2011,geoId/371190059132,4379,35.141147000000004,-80.950647
2011,geoId/371190026001,721,35.2107435,-80.83131
2011,geoId/371190031031,2082,35.166395,-80.853128
2011,geoId/371190058383,2403,35.02177801211775,-80.844798
2011,geoId/371190059151,969,35.1352315,-80.9333635
2011,geoId/371190056143,1836,35.293575,-80.691654
2011,geoId/371190058241,2520,35.10893063357805,-80.8976926643019
2011,geoId/371190054013,1378,35.2892325,-80.8520035
2011,geoId/371190055123,2082,35.3116725,-80.79898700000001
2011,geoId/371190058312,1757,35.0810915,-80.84212
2011,geoId/371190029042,2029,35.153628499999996,-80.80379450000001
2011,geoId/371190058162,854,35.0585755,-80.80884900000001
2011,geoId/371190060092,1535,35.295576,-80.971039
2011,geoId/371190015102,760,35.25251,-80.752696
2011,geoId/371190053072,1267,35.281122499999995,-80.7699965
2011,geoId/371190064062,1178,35.468936,-80.864427
2011,geoId/371190019171,1712,35.195322,-80.6926905
